--- 更新时间---,2017/08/27-21,-- 浓度 ---
o38,co,pm10,sitename,pm101,so2,siteid,no2,pm251,o3,pm25
－,0.3,32.8,普陀监测站,24.0,6.0,201,21.0,13.0,43.0,14.5
－,0.5,38.6,杨浦四漂,36.0,5.0,209,20.0,15.0,28.0,13.8
－,0.6,30.2,卢湾师专附小,27.0,6.0,185,24.0,11.0,30.0,14.3
－,0.6,30.5,*青浦淀山湖,26.0,8.0,203,19.0,15.0,47.0,15.8
－,0.4,30.7,虹口凉城,20.0,7.0,215,24.0,16.0,35.0,13.7
－,0.7,28.2,静安监测站,37.0,8.0,183,19.0,12.0,39.0,14.7
－,0.6,29.8,徐汇上师大,28.0,6.0,207,34.0,11.0,39.0,13.0
－,0.3,32.5,浦东川沙,27.0,8.0,193,24.0,13.0,31.0,12.8
－,0.3,31.4,浦东张江,23.0,9.0,195,19.0,9.0,32.0,15.5
－,0.4,29.9,浦东监测站,22.0,7.0,228,21.0,10.0,39.0,8.8
－,0.5,31.5,全市平均,27.1,6.9,0,22.9,12.2,35.1,13.4
-- 实时空气质量指数 ---
o38,sy,co,pm10,zk,sitename,o3,so2,siteid,no2,dj,aqi,pm25
－,－,4,24,优,普陀监测站,14,3,201,11,一级,24,19
－,－,6,36,优,杨浦四漂,9,2,209,10,一级,36,22
－,－,7,27,优,卢湾师专附小,10,3,185,12,一级,27,16
－,－,7,26,优,*青浦淀山湖,15,3,203,10,一级,26,22
－,－,5,20,优,虹口凉城,11,3,215,12,一级,23,23
－,－,8,37,优,静安监测站,13,3,183,10,一级,37,18
－,－,7,28,优,徐汇上师大,13,3,207,17,一级,28,16
－,－,4,27,优,浦东川沙,10,3,193,12,一级,27,19
－,－,4,23,优,浦东张江,10,3,195,10,一级,23,13
－,－,5,22,优,浦东监测站,13,3,228,11,一级,22,15
－,－,6,27,优,全市平均,11,3,0,12,一级,27,18
